"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,";"buzzardLabel";11;"";;;
2;"JP3";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
3;"H2,H1,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"R5";"0402R";1;"100R";;;
6;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
7;"D1";"0402LED";1;"red";;;
8;"R4";"0603R";1;"2k49";;;
9;"G***";"Symbol-Front-USB";1;"LOGO";;;
10;"D2";"0402LED";1;"purple";;;
11;"R6";"0402R";1;"330R";;;
12;"K7";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
13;"C2,C1";"0603C";2;"2.2uF";;;
14;"JP2";"SMD_JUMPER_CONNECTED";1;"SMD-JUMPER-CONNECTED";;;
15;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
16;"U1";"TP4056M-MSOP8";1;"TP4056M";;;
17;"R3";"0603R";1;"4.7k";;;
18;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
19;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
20;"R1,R2";"0603R";2;"5.1k";;;
21;"G***";"Symbol-Front-Battery";1;"LOGO";;;
22;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
23;"K4,K2,K3,K6,K5";"HEADER_MALE_1X1";5;"HEADER_MALE_1X1";;;
24;"";"Version1.0.0.";1;"";;;
